Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2024-05-01,05:48,Wednesday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5046
2024-05-01,06:20,Wednesday,KENNEDY BD STATION,TUMVS,0,0,E,BD,5021
2024-05-01,06:21,Wednesday,VICTORIA PARK STATION,MUPAA,0,0,W,BD,5129
2024-05-01,06:35,Wednesday,WELLESLEY STATION,SUDP,0,0,,YU,0
2024-05-01,07:19,Wednesday,SUMMERHILL STATION,MUI,10,13,S,YU,5436
2024-05-01,07:37,Wednesday,BLOOR STATION,SUO,0,0,S,YU,5421
2024-05-01,07:52,Wednesday,BLOOR STATION,SUDP,3,6,N,YU,5556
2024-05-01,08:19,Wednesday,OLD MILL STATION,EUDO,3,5,E,BD,5201
2024-05-01,08:27,Wednesday,KENNEDY BD STATION,PUMST,0,0,,BD,0
2024-05-01,08:44,Wednesday,GREENWOOD STATION,MUDD,0,0,W,BD,5269
2024-05-01,08:55,Wednesday,BLOOR STATION,MUIR,0,0,S,YU,6081
2024-05-01,09:27,Wednesday,COLLEGE STATION,MUIRS,0,0,,YU,0
2024-05-01,09:31,Wednesday,EGLINTON WEST STATION,SUUT,8,11,S,YU,5771
2024-05-01,09:51,Wednesday,BLOOR STATION,SUDP,4,9,N,YU,5611
2024-05-01,10:33,Wednesday,BATHURST STATION,EULT,4,8,W,BD,5320
2024-05-01,11:02,Wednesday,DONLANDS STATION,EUSC,0,0,W,BD,5046
2024-05-01,11:03,Wednesday,SHEPPARD STATION,SUO,0,0,,YU,0
2024-05-01,11:54,Wednesday,KENNEDY BD STATION,MUIR,4,8,W,BD,5061
2024-05-01,12:00,Wednesday,NORTH YORK CTR STATION,SUO,14,20,N,YU,5896
2024-05-01,12:00,Wednesday,GREENWOOD YARD,PUTO,0,0,,BD,0
2024-05-01,12:21,Wednesday,KENNEDY BD STATION,PUMO,0,0,,BD,0
2024-05-01,12:24,Wednesday,COXWELL STATION,MUIR,4,8,W,BD,5011
2024-05-01,12:49,Wednesday,CASTLE FRANK STATION,MUIRS,0,0,,BD,0
2024-05-01,13:13,Wednesday,COLLEGE STATION,MUPAA,4,9,N,YU,6116
2024-05-01,13:16,Wednesday,UNION STATION,SUAP,0,0,,YU,0
2024-05-01,13:32,Wednesday,KEELE STATION,MUSC,0,0,E,BD,5363
2024-05-01,13:34,Wednesday,BLOOR STATION,SUO,3,8,S,YU,5901
2024-05-01,13:53,Wednesday,VICTORIA PARK STATION,SUDP,9,13,E,BD,5146
2024-05-01,14:10,Wednesday,WILSON STATION,TUNIP,0,0,N,YU,5826
2024-05-01,14:16,Wednesday,GLENCAIRN STATION,EUNT,8,13,S,YU,5896
2024-05-01,14:28,Wednesday,KING STATION,MUATC,9,14,S,YU,5776
2024-05-01,14:57,Wednesday,QUEEN STATION,MUATC,3,8,S,YU,5776
2024-05-01,15:02,Wednesday,ST GEORGE BD STATION,MUPAA,4,7,W,BD,5342
2024-05-01,15:05,Wednesday,ROSEDALE STATION,MUPAA,0,0,S,YU,5511
2024-05-01,15:18,Wednesday,WARDEN STATION,MUIS,0,0,,BD,0
2024-05-01,16:03,Wednesday,YORK MILLS STATION,EUAC,11,14,N,BD,5421
2024-05-01,16:06,Wednesday,ISLINGTON STATION,TUO,9,12,W,BD,5294
2024-05-01,16:16,Wednesday,JANE STATION,MUPAA,0,0,W,BD,5166
2024-05-01,16:21,Wednesday,FINCH STATION,SUO,9,12,N,YU,5416
2024-05-01,16:22,Wednesday,BLOOR STATION,SUDP,0,0,N,YU,5786
2024-05-01,16:42,Wednesday,BROADVIEW STATION,SUAP,7,10,E,BD,5166
2024-05-01,18:12,Wednesday,YORK MILLS STATION,SUDP,0,0,N,YU,5671
2024-05-01,18:21,Wednesday,ST GEORGE BD STATION,MUDD,0,0,E,BD,5100
2024-05-01,18:21,Wednesday,ST CLAIR STATION,MUIR,25,28,N,YU,5536
2024-05-01,18:22,Wednesday,CHRISTIE STATION,MUSC,0,0,E,BD,5049
2024-05-01,18:24,Wednesday,BAY STATION,MUDD,3,6,E,BD,5100
2024-05-01,18:37,Wednesday,KIPLING STATION,PUCSS,0,0,W,BD,5261
2024-05-01,18:45,Wednesday,YORKDALE STATION,MUIR,9,14,S,YU,5611
2024-05-01,18:46,Wednesday,KIPLING STATION,MUI,3,6,E,BD,5008
2024-05-01,18:53,Wednesday,WELLESLEY STATION,PUOPO,0,0,S,YU,5676
2024-05-01,19:09,Wednesday,ST GEORGE YUS STATION,PUOPO,5,10,S,YU,6106
2024-05-01,19:18,Wednesday,KENNEDY BD STATION,SUDP,0,0,,BD,0
2024-05-01,19:35,Wednesday,WELLESLEY STATION,PUOPO,0,0,S,YU,5901
2024-05-01,19:44,Wednesday,YONGE BD STATION,SUDP,4,9,W,BD,5093
2024-05-01,20:09,Wednesday,BLOOR STATION,SUO,0,0,N,YU,6041
2024-05-01,20:11,Wednesday,YONGE BD STATION,SUO,0,0,E,BD,5008
2024-05-01,20:19,Wednesday,BLOOR STATION,SUDP,0,0,N,YU,5506
2024-05-01,20:19,Wednesday,YONGE BD STATION,SUO,0,0,E,BD,5100
2024-05-01,20:21,Wednesday,SUMMERHILL STATION,MUD,0,0,N,YU,6041
2024-05-01,20:36,Wednesday,COXWELL STATION,SUO,0,0,,BD,0
2024-05-01,20:49,Wednesday,ST GEORGE YUS STATION,SUAP,0,0,,YU,0
2024-05-01,20:53,Wednesday,ISLINGTON STATION,TUSC,3,9,W,BD,5126
2024-05-01,20:54,Wednesday,FINCH WEST STATION,MUIS,0,0,,YU,0
2024-05-01,21:16,Wednesday,BLOOR STATION,SUO,0,0,,YU,0
2024-05-01,21:29,Wednesday,KEELE STATION,SUO,0,0,,BD,0
2024-05-01,21:48,Wednesday,KEELE STATION,SUO,0,0,W,BD,0
2024-05-01,22:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2024-05-01,22:16,Wednesday,DUFFERIN STATION,MUIRS,0,0,,BD,0
2024-05-01,22:22,Wednesday,BATHURST STATION,MUDD,0,0,E,BD,5004
2024-05-01,22:57,Wednesday,BLOOR STATION,MUIRS,0,0,,YU,0
2024-05-01,23:00,Wednesday,LINE 1 - YONGE/UNIVERS,MUO,0,0,,YU,0
2024-05-01,23:00,Wednesday,EGLINTON TO SHEPPARD-Y,MUO,0,0,,YU,0
2024-05-01,23:00,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU,0
2024-05-01,23:00,Wednesday,BLOOR STATION,SUDP,5,10,S,YU,5561
2024-05-01,23:14,Wednesday,BATHURST STATION,MUIS,0,0,,BD,0
2024-05-01,00:17,Wednesday,ST GEORGE BD STATION,EUSC,0,0,E,BD,5331
2024-05-01,00:25,Wednesday,FINCH WEST STATION,SUAE,0,0,,YU,0
2024-05-01,01:27,Wednesday,PAPE STATION,MUPAA,0,0,W,BD,5096
2024-05-01,01:32,Wednesday,WOODBINE STATION,SUO,0,0,,BD,0
2024-05-02,02:05,Thursday,FINCH STATION,PUMEL,0,0,,YU,0
2024-05-02,02:07,Thursday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2024-05-02,04:32,Thursday,DAVISVILLE STATION,PUSAC,0,0,S,YU,0
2024-05-02,05:26,Thursday,QUEEN STATION,MUNCA,0,0,,YU,0
2024-05-02,05:43,Thursday,DUNDAS WEST STATION,SUDP,0,0,,BD,0
2024-05-02,05:47,Thursday,KIPLING STATION,SUG,7,14,E,BD,5339
2024-05-02,06:10,Thursday,BATHURST STATION,MUIS,0,0,,BD,0
2024-05-02,06:52,Thursday,EGLINTON WEST STATION,MUIS,0,0,,YU,0
2024-05-02,07:01,Thursday,DUNDAS STATION,MUIRS,0,0,,YU,0
